2024-08-18 20:31:45,810 - data_preparation - INFO - Total number of files: 12126
2024-08-18 20:31:45,810 - data_preparation - INFO - Using subset of 121 files
2024-08-18 20:31:45,811 - data_preparation - INFO - Training set size: 96
2024-08-18 20:31:45,811 - data_preparation - INFO - Validation set size: 25
2024-08-18 20:31:47,216 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,216 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,216 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,216 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,217 - data_preparation - DEBUG - Clean phase range: [-3.1402, 3.1416]
2024-08-18 20:31:47,217 - data_preparation - DEBUG - Clean phase range: [-3.1376, 3.1416]
2024-08-18 20:31:47,217 - data_preparation - DEBUG - Noisy phase range: [-3.1400, 3.1416]
2024-08-18 20:31:47,217 - data_preparation - DEBUG - Noisy phase range: [-3.1405, 3.1416]
2024-08-18 20:31:47,225 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,226 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,226 - data_preparation - DEBUG - Clean phase range: [-3.1370, 3.1416]
2024-08-18 20:31:47,226 - data_preparation - DEBUG - Noisy phase range: [-3.1363, 3.1416]
2024-08-18 20:31:47,245 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,245 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,246 - data_preparation - DEBUG - Clean phase range: [-3.1399, 3.1416]
2024-08-18 20:31:47,246 - data_preparation - DEBUG - Noisy phase range: [-3.1378, 3.1416]
2024-08-18 20:31:47,247 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,248 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,248 - data_preparation - DEBUG - Clean phase range: [-3.1393, 3.1416]
2024-08-18 20:31:47,248 - data_preparation - DEBUG - Noisy phase range: [-3.1393, 3.1416]
2024-08-18 20:31:47,261 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,261 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,261 - data_preparation - DEBUG - Clean phase range: [-3.1402, 3.1416]
2024-08-18 20:31:47,262 - data_preparation - DEBUG - Noisy phase range: [-3.1408, 3.1416]
2024-08-18 20:31:47,262 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,262 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,262 - data_preparation - DEBUG - Clean phase range: [-3.1415, 3.1416]
2024-08-18 20:31:47,262 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,263 - data_preparation - DEBUG - Noisy phase range: [-3.1394, 3.1416]
2024-08-18 20:31:47,263 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,263 - data_preparation - DEBUG - Clean phase range: [-3.1390, 3.1416]
2024-08-18 20:31:47,263 - data_preparation - DEBUG - Noisy phase range: [-3.1399, 3.1416]
2024-08-18 20:31:47,274 - models - DEBUG - Train - Real input mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,275 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,275 - models - DEBUG - Train - Real input phase range: [-3.1409, 3.1416]
2024-08-18 20:31:47,275 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,275 - data_preparation - DEBUG - Clean phase range: [-3.1399, 3.1416]
2024-08-18 20:31:47,275 - models - DEBUG - Train - Real target mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,275 - data_preparation - DEBUG - Noisy phase range: [-3.1387, 3.1416]
2024-08-18 20:31:47,275 - models - DEBUG - Train - Real target phase range: [-3.1405, 3.1416]
2024-08-18 20:31:47,276 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,276 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,277 - data_preparation - DEBUG - Clean phase range: [-3.1391, 3.1416]
2024-08-18 20:31:47,277 - data_preparation - DEBUG - Noisy phase range: [-3.1377, 3.1416]
2024-08-18 20:31:47,295 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,296 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,296 - data_preparation - DEBUG - Clean phase range: [-3.1398, 3.1416]
2024-08-18 20:31:47,296 - data_preparation - DEBUG - Noisy phase range: [-3.1392, 3.1416]
2024-08-18 20:31:47,327 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,327 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,328 - data_preparation - DEBUG - Clean phase range: [-3.1397, 3.1416]
2024-08-18 20:31:47,328 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,328 - data_preparation - DEBUG - Noisy phase range: [-3.1397, 3.1416]
2024-08-18 20:31:47,328 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,329 - data_preparation - DEBUG - Clean phase range: [-3.1398, 3.1416]
2024-08-18 20:31:47,330 - data_preparation - DEBUG - Noisy phase range: [-3.1401, 3.1416]
2024-08-18 20:31:47,332 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,332 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,332 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,333 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,333 - data_preparation - DEBUG - Clean phase range: [-3.1392, 3.1416]
2024-08-18 20:31:47,333 - data_preparation - DEBUG - Noisy phase range: [-3.1401, 3.1416]
2024-08-18 20:31:47,333 - data_preparation - DEBUG - Clean phase range: [-3.1395, 3.1416]
2024-08-18 20:31:47,334 - data_preparation - DEBUG - Noisy phase range: [-3.1402, 3.1416]
